URI,Property,Type,Cardinality,Priority,Description
https://schema.org/timeRequired,typicalExcecutionTime,Number,n,Recommended,Typical execution time of the software.
https://schema.org/processorRequirements,processorRequirements,Text,1,Recommended,"Processor architecture required to run the application (e.g. IA64)."
https://schema.org/memoryRequirements,memoryRequirements,Text,1,Recommended,Minimum memory requirements.
https://schema.org/storageRequirements,storageRequirements,Text,1,Recommended,Storage requirements (free space required).
https://nfdi4energy.github.io/ERSmeta/#ersmeta:realtimeCapability,realtimeCapablity,DefinedTerm,n,Bonus,What kind of realtime simulations are supported by the software?
https://nfdi4energy.github.io/ERSmeta/#ersmeta:parallelizationCapability,parallelizationCapability,Boolean,1,Bonus,Does the software support parallization?
https://schema.org/targetProduct,targetProduct,Text,n,Recommended,"Target programming enviroments to which the code applies. If applies to several versions, just the product name can be used."
https://schema.org/operatingSystem,operatingSystem,DefinedTerm,n,Recommended,"Operating systems supported (Windows 7, OSX 10.6, Android 1.6)."
https://schema.org/softwareRequirements,softwareRequirements,Text,n,Recommended,Required software dependencies.
https://schema.org/fileSize,fileSize,Number,1,Bonus,"Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed."
https://schema.org/schemaVersion,metadataVersion,Text,1,Mandatory,The type and version number of the metadata.
https://schema.org/sdLicense,sdLicense,https://schema.org/CreativeWork,n,Mandatory,The license of the provided metadata.
https://schema.org/sdPublisher,sdPublisher,Text,1,Mandatory,"Indicates the party responsible for generating and publishing the current structured data markup, typically in cases where the structured data is derived automatically from existing published content but published on a different site. For example, student projects and open data initiatives often re-publish existing content with more explicitly structured metadata. The sdPublisher property helps make such practices more explicit."
